Date,HomeTeam,AwayTeam,home_xG,away_xG,home_xGA,away_xGA
2024-11-02 17:30:00,Wolves,Crystal Palace,1.65018,2.64849,2.64849,1.65018
2024-11-03 16:30:00,Man United,Chelsea,2.1605,1.21071,1.21071,2.1605
2024-11-03 14:00:00,Tottenham,Aston Villa,2.09751,2.48749,2.48749,2.09751
2024-11-04 20:00:00,Fulham,Brentford,1.43017,0.739231,0.739231,1.43017
2024-11-09 15:00:00,Brentford,Bournemouth,1.56474,2.49234,2.49234,1.56474
2024-11-09 17:30:00,Brighton,Man City,2.87116,2.60334,2.60334,2.87116
2024-11-09 15:00:00,Crystal Palace,Fulham,1.96037,2.25331,2.25331,1.96037
2024-11-09 20:00:00,Liverpool,Aston Villa,2.68196,1.66337,1.66337,2.68196
2024-11-09 15:00:00,West Ham,Everton,1.1237,0.865983,0.865983,1.1237
2024-11-09 15:00:00,Wolves,Southampton,0.912781,0.792655,0.792655,0.912781
2024-11-10 16:30:00,Chelsea,Arsenal,1.24067,1.9605,1.9605,1.24067
2024-11-10 14:00:00,Man United,Leicester,1.2369,0.417295,0.417295,1.2369
2024-11-10 14:00:00,Nott'm Forest,Newcastle,1.17852,1.86904,1.86904,1.17852
2024-11-10 14:00:00,Tottenham,Ipswich,1.75088,2.18392,2.18392,1.75088
2024-11-23 15:00:00,Arsenal,Nott'm Forest,1.66016,0.403136,0.403136,1.66016
2024-11-23 15:00:00,Aston Villa,Crystal Palace,3.04455,1.61437,1.61437,3.04455
2024-11-23 15:00:00,Bournemouth,Brighton,1.91157,1.23059,1.23059,1.91157
2024-11-23 15:00:00,Everton,Brentford,1.5951,1.34314,1.34314,1.5951
2024-11-23 15:00:00,Fulham,Wolves,0.717158,1.33903,1.33903,0.717158
2024-11-23 12:30:00,Leicester,Chelsea,0.967987,2.81658,2.81658,0.967987
2024-11-23 17:30:00,Man City,Tottenham,2.15899,3.30449,3.30449,2.15899
2024-11-24 16:30:00,Ipswich,Man United,1.98714,1.26912,1.26912,1.98714
